name,id,class,platforms,permissions
Hide Artifacts,attack-pattern--22905430-4901-4c2a-84f6-98243cb173f8,VMR,Linux;Office Suite;Windows;macOS;ESXi,
Dynamic Data Exchange,attack-pattern--232a7e42-cd6e-4902-8fe9-2960f529dd4d,VMR,Windows,
Malicious File,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,VMR,Linux;macOS;Windows,
Identify Business Tempo,attack-pattern--2339cf19-8f1e-48f7-8a91-0262ba547b6f,VMR,PRE,
Publish/Subscribe Protocols,attack-pattern--241f9ea8-f6ae-4f38-92f5-cef5b7e539dd,VMR,macOS;Linux;Windows;Network Devices,
Hardware,attack-pattern--24286c33-d4a4-4419-85c2-1d094a896c26,VMR,PRE,
Symmetric Cryptography,attack-pattern--24bfaeba-cb0d-4525-b3dc-507c77ecec41,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Local Account,attack-pattern--25659dd6-ea12-45c4-97e6-381e3e4b593e,VMR,ESXi;Linux;macOS;Windows,
Social Media Accounts,attack-pattern--274770e0-2612-4ccf-a678-ef8e7bad365d,VMR,PRE,
Browser Extensions,attack-pattern--278716b1-61ce-4a74-8d17-891d0c494101,VMR,Linux;Windows;macOS,
Safe Mode Boot,attack-pattern--28170e17-8384-415c-8486-2e6b294cb803,VMR,Windows,
TFTP Boot,attack-pattern--28abec6c-4443-4b03-8206-07f2e264a6b4,VMR,Network Devices,
Windows Service,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32,VMR,Windows,
Fast Flux DNS,attack-pattern--29ba5a15-3b7b-4732-b817-65ea8f6468e6,VMR,Linux;macOS;Windows;ESXi,
System Checks,attack-pattern--29be378d-262d-4e99-b00d-852d573628e6,VMR,Linux;macOS;Windows,
Cron,attack-pattern--2acf44aa-542f-4366-b4eb-55ef5747759c,VMR,Linux;macOS;ESXi,
Domain Groups,attack-pattern--2aed01ad-3df3-4410-a8cb-11ea4ded587c,VMR,Linux;macOS;Windows,
Vulnerabilities,attack-pattern--2b5aa86b-a0df-4382-848d-30abea443327,VMR,PRE,
Clear Linux or Mac System Logs,attack-pattern--2bce5b30-7014-4a5d-ade7-12913fe6ac36,VMR,Linux;macOS,
Office Application Startup,attack-pattern--2c4d4e92-0ccf-4a97-b54c-86d662988a53,VMR,Windows;Office Suite,
InstallUtil,attack-pattern--2cd950a6-16c4-404a-aa01-044322395107,VMR,Windows,
Spearphishing Link,attack-pattern--2d3f5b3c-54ca-4f4d-bb1f-849346d31230,VMR,PRE,
Print Processors,attack-pattern--2de47683-f398-448f-b947-9abcc3e32fad,VMR,Windows,
Spearphishing Attachment,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,VMR,Linux;macOS;Windows,
Stripped Payloads,attack-pattern--2f41939b-54c3-41d6-8f8b-35f1ec18ed97,VMR,macOS;Linux;Windows;Network Devices,
Component Object Model,attack-pattern--2f6b4ed7-fef1-44ba-bcb8-1b4beb610b64,VMR,Windows,
DLL,attack-pattern--2fee9321-3e71-4cf4-af24-d4d40d355b34,VMR,Windows,
Clipboard Data,attack-pattern--30973a08-aed9-4edf-8604-9084ce1b5c4f,VMR,Linux;macOS;Windows,
