replicate,confusion_pct,unique_pct
1944,8.7209,90.1163
1945,8.7209,90.1163
1946,8.7209,90.1163
1947,8.7209,90.1163
1948,8.7209,90.1163
1949,8.7209,90.1163
1950,8.7209,90.1163
1951,8.7209,90.1163
1952,8.7209,90.1163
1953,8.7209,90.1163
1954,8.7209,90.1163
1955,8.7209,90.1163
1956,8.7209,90.1163
1957,8.7209,90.1163
1958,8.7209,90.1163
1959,8.7209,90.1163
1960,8.7209,90.1163
1961,8.7209,90.1163
1962,8.7209,90.1163
1963,8.7209,90.1163
1964,8.7209,90.1163
1965,8.7209,90.1163
1966,8.7209,90.1163
1967,8.7209,90.1163
1968,8.7209,90.1163
1969,8.7209,90.1163
1970,8.7209,90.1163
1971,8.7209,90.1163
1972,8.7209,90.1163
1973,8.7209,90.1163
1974,8.7209,90.1163
1975,8.7209,90.1163
1976,8.7209,90.1163
1977,8.7209,90.1163
1978,8.7209,90.1163
1979,8.7209,90.1163
1980,8.7209,90.1163
1981,8.7209,90.1163
1982,8.7209,90.1163
1983,8.7209,90.1163
1984,8.7209,90.1163
1985,8.7209,90.1163
1986,8.7209,90.1163
1987,8.7209,90.1163
1988,8.7209,90.1163
1989,8.7209,90.1163
1990,8.7209,90.1163
1991,8.7209,90.1163
1992,8.7209,90.1163
1993,8.7209,90.1163
1994,8.7209,90.1163
1995,8.7209,90.1163
1996,8.7209,90.1163
1997,8.7209,90.1163
1998,8.7209,90.1163
1999,8.7209,90.1163
2000,8.7209,90.1163
2001,8.7209,90.1163
2002,8.7209,90.1163
2003,8.7209,90.1163
2004,8.7209,90.1163
2005,8.7209,90.1163
2006,8.7209,90.1163
2007,8.7209,90.1163
2008,8.7209,90.1163
2009,8.7209,90.1163
2010,8.7209,90.1163
2011,8.7209,90.1163
2012,8.7209,90.1163
2013,8.7209,90.1163
2014,8.7209,90.1163
2015,8.7209,90.1163
2016,8.7209,90.1163
2017,8.7209,90.1163
2018,8.7209,90.1163
2019,8.7209,90.1163
2020,8.7209,90.1163
2021,8.7209,90.1163
2022,8.7209,90.1163
2023,8.7209,90.1163
2024,8.7209,90.1163
2025,8.7209,90.1163
2026,8.7209,90.1163
2027,8.7209,90.1163
2028,8.7209,90.1163
2029,8.7209,90.1163
2030,8.7209,90.1163
2031,8.7209,90.1163
2032,8.7209,90.1163
2033,8.7209,90.1163
2034,8.7209,90.1163
2035,8.7209,90.1163
2036,8.7209,90.1163
2037,8.7209,90.1163
2038,8.7209,90.1163
2039,8.7209,90.1163
2040,8.7209,90.1163
2041,8.7209,90.1163
2042,8.7209,90.1163
2043,8.7209,90.1163
2044,8.7209,90.1163
2045,8.7209,90.1163
2046,8.7209,90.1163
2047,8.7209,90.1163
2048,8.7209,90.1163
2049,8.7209,90.1163
2050,8.7209,90.1163
2051,8.7209,90.1163
2052,8.7209,90.1163
2053,8.7209,90.1163
2054,8.7209,90.1163
2055,8.7209,90.1163
2056,8.7209,90.1163
2057,8.7209,90.1163
2058,8.7209,90.1163
2059,8.7209,90.1163
